id,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
406,ASUS,X1404VA-NK542WS,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹59,990"
407,Lenovo,15APH8,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹83,990"
408,Lenovo,15ACH6,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹52,890"
409,DELL,Inspiron 15 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹45,990"
410,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
411,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
412,MSI,Raider GE66 12UGS,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,"₹1,47,743"
413,Acer,CB314-3H,Celeron Dual Core,Chrome,128 GB,8 GB,35.56 cm (14 inch),No,"₹23,990"
414,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
415,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
416,ASUS,FX507VU-LP083WS,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹1,19,990"
417,Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹20,990"
418,ASUS,FX506LHB-HN355W | FX506LH-HN258W,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹49,990"
419,HP,Pavilion 15-EH3101AU,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹64,600"
420,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
421,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
422,GIGABYTE,G5 MF-E2IN313SH,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹72,990"
423,Lenovo,15ITL6,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹34,490"
424,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
425,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
426,ASUS,X1500EA,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹37,990"
427,ASUS,GZ301ZE-LC193WS,Core i9,Windows 11 Home,1 TB,16 GB,34.04 cm (13.4 Inch),Yes,"₹1,99,990"
428,MSI,GF63 Thin 11SC-1493IN,Core i5,Windows 11 Home,4 TB,16 GB,39.62 cm (15.6 Inch),No,"₹48,990"
429,Lenovo,16ARH7H,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),No,"₹1,09,990"
430,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
431,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
432,Lenovo,Ideapad 5 14ABR8,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹66,388"
433,Acer,A715-51G,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹58,500"
434,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
435,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
436,realme,Book Prime,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹56,999"
437,HP,15-fh0015AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,"₹78,890"
438,Lenovo,ThinkBook 15 Gen 2,Core i5,Windows 10 Home,1 TB,16 GB,38.1 cm (15 inch),No,"₹58,890"
439,HP,15s-eq2132au,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹46,150"
440,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
441,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
442,ASUS,K3405ZF-LY542WS,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹64,990"
443,ASUS,FX506LHB-HN355W | FX506LH-HN258W,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹49,990"
444,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
445,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
446,ASUS,G533ZXZ-LN116WS,Core i9,Windows 11 Home,1 TB,32 GB,39.62 cm (15.6 Inch),No,"₹1,79,990"
447,MSI,Modern 14 C13M-435IN,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹64,990"
448,ASUS,G614JU-N3221WS,Core i5,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),No,"₹1,44,990"
449,Acer,A715-76G,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹54,990"
450,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
451,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
452,SAMSUNG,Galaxy Book3 Pro,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹1,24,990"
453,GIGABYTE,G5 MF-E2IN313SH,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹72,990"
454,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
455,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
456,WINGS,WL-Nuvobook S2-SLV,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹25,990"
457,HP,15-eg2091T,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹74,900"
458,Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹20,990"
459,ASUS,M1603QA-MB511WS,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,40.64 cm (16 inch),No,"₹53,890"
460,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
461,HP,14-dy1013TU,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,"₹85,999"
462,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
463,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
464,Lenovo,15IHU6,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹47,990"
465,GIGABYTE,G5 GE-51IN263SH,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹57,990"
466,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
467,HP,Pavilion x360,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,"₹78,468"
468,Infinix,INBook X1,Core i3,Windows 11 Home,256 GB,8 GB,35.56 cm (14 inch),No,"₹37,999"
469,HP,15-fa1060TX,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,"₹99,999"
470,HP,ef2033TU,Core i7,Windows 11 Home,1 TB,16 GB,34.29 cm (13.5 Inch),Yes,"₹1,38,490"
471,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
472,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
473,Lenovo,IdeaPad Slim 3i,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹44,400"
474,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
475,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
